"","long","lat","group"
"1",-124.136561,41.464452,"1.1"
"2",-124.137892,41.468298,"1.1"
"3",-124.13906,41.472933,"1.1"
"4",-124.140544,41.477235,"1.1"
"5",-124.142508,41.48278,"1.1"
"6",-124.144128,41.486881,"1.1"
"7",-124.147339,41.493036,"1.1"
"8",-124.151305,41.499842,"1.1"
"9",-124.151732,41.503887,"1.1"
"10",-124.151821,41.508214,"1.1"
"11",-124.153568,41.510753,"1.1"
"12",-124.157943,41.518962,"1.1"
"13",-124.160111,41.529386,"1.1"
"14",-124.160516,41.53801,"1.1"
"15",-124.160493,41.543409,"1.1"
"16",-124.164464,41.54524,"1.1"
"17",-124.172274,41.550979,"1.1"
"18",-124.179961,41.558325,"1.1"
"19",-124.18499,41.565769,"1.1"
"20",-124.188336,41.573996,"1.1"
"21",-124.188474,41.575742,"1.1"
"22",-124.18873,41.578964,"1.1"
"23",-124.188273,41.583653,"1.1"
"24",-124.187127,41.58897,"1.1"
"25",-124.189188,41.59178,"1.1"
"26",-124.190533,41.59874,"1.1"
"27",-124.190457,41.604607,"1.1"
"28",-124.190113,41.60819,"1.1"
"29",-124.195829,41.613162,"1.1"
"30",-124.20134,41.619404,"1.1"
"31",-124.204535,41.624839,"1.1"
"32",-124.207386,41.629295,"1.1"
"33",-124.209785,41.635205,"1.1"
"34",-124.211419,41.641688,"1.1"
"35",-124.210489,41.649463,"1.1"
"36",-124.211823,41.652701,"1.1"
"37",-124.211784,41.661907,"1.1"
"38",-124.210002,41.669319,"1.1"
"39",-124.208546,41.673816,"1.1"
"40",-124.211706,41.681193,"1.1"
"41",-124.21516,41.682273,"1.1"
"42",-124.222605,41.685267,"1.1"
"43",-124.229865,41.689702,"1.1"
"44",-124.235915,41.694145,"1.1"
"45",-124.236042,41.694157,"1.1"
"46",-124.236856,41.69464,"1.1"
"47",-124.241932,41.695005,"1.1"
"48",-124.245433,41.69595,"1.1"
"49",-124.249473,41.696958,"1.1"
"50",-124.251191,41.697535,"1.1"
"51",-124.262421,41.701857,"1.1"
"52",-124.278062,41.709674,"1.1"
"53",-124.284218,41.713414,"1.1"
"54",-124.291914,41.71809,"1.1"
"55",-124.300301,41.724145,"1.1"
"56",-124.313704,41.727491,"1.1"
"57",-124.316113,41.72839,"1.1"
"58",-124.330609,41.733793,"1.1"
"59",-124.345376,41.744586,"1.1"
"60",-124.352289,41.749781,"1.1"
"61",-124.352368,41.749841,"1.1"
"62",-124.355988,41.752235,"1.1"
"63",-124.361038,41.755954,"1.1"
"64",-124.365508,41.759671,"1.1"
"65",-124.369188,41.763412,"1.1"
"66",-124.369977,41.763456,"1.1"
"67",-124.372889,41.763968,"1.1"
"68",-124.374726,41.764376,"1.1"
"69",-124.3762,41.764628,"1.1"
"70",-124.376199,41.765569,"1.1"
"71",-124.384371,41.768234,"1.1"
"72",-124.392055,41.772377,"1.1"
"73",-124.39951,41.777862,"1.1"
"74",-124.405715,41.783141,"1.1"
"75",-124.410757,41.788312,"1.1"
"76",-124.414235,41.793004,"1.1"
"77",-124.416193,41.796916,"1.1"
"78",-124.417526,41.800017,"1.1"
"79",-124.422396,41.803707,"1.1"
"80",-124.429185,41.809726,"1.1"
"81",-124.435033,41.816581,"1.1"
"82",-124.438909,41.824504,"1.1"
"83",-124.439497,41.827122,"1.1"
"84",-124.440414,41.831204,"1.1"
"85",-124.440707,41.83874,"1.1"
"86",-124.437723,41.849321,"1.1"
"87",-124.435015,41.856507,"1.1"
"88",-124.43092,41.862912,"1.1"
